tribunal,numero_formatado,numero_raw,classe,assuntos,url_consulta
TJAC,1000108-76.2021.8.01.0000,10001087620218010000,Agravo de Instrumento,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=1000108-76.2021.8.01.0000
TJAC,5000776-58.2026.8.01.0014,50007765820268010014,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000776-58.2026.8.01.0014
TJAC,5000445-79.2026.8.01.0013,50004457920268010013,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000445-79.2026.8.01.0013
TJAC,5000763-59.2026.8.01.0014,50007635920268010014,Execução de Título Extrajudicial,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000763-59.2026.8.01.0014
TJAC,5000800-25.2026.8.01.0002,50008002520268010002,Cumprimento de sentença,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000800-25.2026.8.01.0002
TJAC,5005664-12.2026.8.01.0001,50056641220268010001,Embargos à Execução,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5005664-12.2026.8.01.0001
TJAC,5000169-69.2026.8.01.0006,50001696920268010006,Monitória,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000169-69.2026.8.01.0006
TJAC,5005655-50.2026.8.01.0001,50056555020268010001,Monitória,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5005655-50.2026.8.01.0001
TJAC,5005555-95.2026.8.01.0001,50055559520268010001,Cumprimento de sentença,"Contratos Bancários, Honorários Advocatícios",https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5005555-95.2026.8.01.0001
TJAC,5000314-37.2026.8.01.0003,50003143720268010003,Monitória,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000314-37.2026.8.01.0003
TJAC,5000326-27.2026.8.01.0011,50003262720268010011,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000326-27.2026.8.01.0011
TJAC,5004904-63.2026.8.01.0001,50049046320268010001,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5004904-63.2026.8.01.0001
TJAC,5000325-42.2026.8.01.0011,50003254220268010011,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000325-42.2026.8.01.0011
TJAC,5004900-26.2026.8.01.0001,50049002620268010001,Execução de Título Extrajudicial,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5004900-26.2026.8.01.0001
TJAC,5004893-34.2026.8.01.0001,50048933420268010001,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5004893-34.2026.8.01.0001
TJAC,5000324-57.2026.8.01.0011,50003245720268010011,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000324-57.2026.8.01.0011
TJAC,5000435-32.2026.8.01.0014,50004353220268010014,Execução de Título Extrajudicial,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000435-32.2026.8.01.0014
TJAC,5004862-14.2026.8.01.0001,50048621420268010001,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5004862-14.2026.8.01.0001
TJAC,5000111-60.2026.8.01.0008,50001116020268010008,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000111-60.2026.8.01.0008
TJAC,5000276-92.2026.8.01.0013,50002769220268010013,Monitória,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000276-92.2026.8.01.0013
TJAC,5000275-10.2026.8.01.0013,50002751020268010013,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000275-10.2026.8.01.0013
TJAC,5004853-52.2026.8.01.0001,50048535220268010001,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5004853-52.2026.8.01.0001
TJAC,5004810-18.2026.8.01.0001,50048101820268010001,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5004810-18.2026.8.01.0001
TJAC,5004808-48.2026.8.01.0001,50048084820268010001,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5004808-48.2026.8.01.0001
TJAC,5000321-05.2026.8.01.0011,50003210520268010011,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000321-05.2026.8.01.0011
TJAC,5004804-11.2026.8.01.0001,50048041120268010001,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5004804-11.2026.8.01.0001
TJAC,5004796-34.2026.8.01.0001,50047963420268010001,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5004796-34.2026.8.01.0001
TJAC,5004793-79.2026.8.01.0001,50047937920268010001,Procedimento Comum Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5004793-79.2026.8.01.0001
TJAC,5004762-59.2026.8.01.0001,50047625920268010001,Cumprimento de sentença,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5004762-59.2026.8.01.0001
TJAC,0701357-69.2025.8.01.0009,07013576920258010009,Apelação Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0701357-69.2025.8.01.0009
TJAC,5000658-21.2026.8.01.0002,50006582120268010002,Execução de Título Extrajudicial,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000658-21.2026.8.01.0002
TJAC,5004679-43.2026.8.01.0001,50046794320268010001,Procedimento do Juizado Especial Cível,"Contratos Bancários, Crédito Direto ao Consumidor - CDC, Indenização por Dano Moral",https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5004679-43.2026.8.01.0001
TJAC,5004662-07.2026.8.01.0001,50046620720268010001,Execução de Título Extrajudicial,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5004662-07.2026.8.01.0001
TJAC,5000647-89.2026.8.01.0002,50006478920268010002,Execução de Título Extrajudicial,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000647-89.2026.8.01.0002
TJAC,0001534-95.2025.8.01.0002,00015349520258010002,Recurso Inominado Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0001534-95.2025.8.01.0002
TJAC,1000353-14.2026.8.01.0000,10003531420268010000,Agravo de Instrumento,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=1000353-14.2026.8.01.0000
TJAC,0715595-59.2021.8.01.0001,07155955920218010001,Apelação Cível,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0715595-59.2021.8.01.0001
TJAC,5000128-05.2026.8.01.0006,50001280520268010006,Execução de Título Extrajudicial,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5000128-05.2026.8.01.0006
TJAC,5004442-09.2026.8.01.0001,50044420920268010001,Cumprimento de sentença,Contratos Bancários,https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5004442-09.2026.8.01.0001
TJAC,0700162-83.2019.8.01.0001,07001628320198010001,Apelação Cível,"Cédula de Crédito Bancário, Contratos Bancários",https://pje.tjac.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0700162-83.2019.8.01.0001
TJAL,0706416-24.2026.8.02.0058,07064162420268020058,Procedimento Comum Cível,"Práticas Abusivas, Contratos Bancários",https://pje2.tjal.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0706416-24.2026.8.02.0058
TJAL,0706415-39.2026.8.02.0058,07064153920268020058,Procedimento Comum Cível,"Contratos Bancários, Práticas Abusivas",https://pje2.tjal.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0706415-39.2026.8.02.0058
TJAL,0700695-03.2026.8.02.0055,07006950320268020055,Procedimento Comum Cível,"Interpretação / Revisão de Contrato, Contratos Bancários",https://pje2.tjal.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0700695-03.2026.8.02.0055
TJAL,0700694-18.2026.8.02.0055,07006941820268020055,Procedimento Comum Cível,"Contratos Bancários, Interpretação / Revisão de Contrato",https://pje2.tjal.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0700694-18.2026.8.02.0055
TJAL,0700407-28.2026.8.02.0064,07004072820268020064,Procedimento Comum Cível,"Contratos Bancários, Direito de Imagem, Indenização por Dano Material",https://pje2.tjal.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0700407-28.2026.8.02.0064
TJAL,0700394-28.2026.8.02.0032,07003942820268020032,Procedimento Comum Cível,Contratos Bancários,https://pje2.tjal.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0700394-28.2026.8.02.0032
TJAL,0700393-43.2026.8.02.0032,07003934320268020032,Procedimento Comum Cível,Contratos Bancários,https://pje2.tjal.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0700393-43.2026.8.02.0032
TJAL,0700392-58.2026.8.02.0032,07003925820268020032,Procedimento Comum Cível,Contratos Bancários,https://pje2.tjal.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0700392-58.2026.8.02.0032
TJAL,0700391-73.2026.8.02.0032,07003917320268020032,Procedimento Comum Cível,Contratos Bancários,https://pje2.tjal.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0700391-73.2026.8.02.0032
