Número do processos,Contrato,Extrato,Comprovante de crédito,Dossiê,Demonstrativo de evolução da dívida,Laudo referenciado
1764352-89.2025.8.06.1818,0,0,0,1,1,1
5638325-36.2025.8.17.4124,1,1,0,1,1,1
1037491-89.2025.8.18.1658,0,1,1,1,1,0
9547931-23.2025.8.04.4188,1,1,1,1,1,0
9999446-69.2025.8.04.4264,0,1,0,1,1,1
2412149-28.2025.8.24.1145,1,1,1,1,0,1
8874499-95.2025.8.07.3223,1,0,0,1,0,1
1917160-43.2025.8.07.3360,1,1,1,1,1,1
6064536-08.2025.8.05.2439,0,1,0,1,0,1
1921027-43.2025.8.15.3964,1,1,0,1,1,1
6140081-15.2025.8.25.2962,1,1,1,1,1,1
4240001-27.2025.8.10.0476,1,1,1,1,1,1
4060328-48.2025.8.03.5952,0,0,0,1,1,1
3958810-04.2025.8.11.6659,1,1,0,1,1,1
7535845-01.2025.8.20.6188,1,1,1,0,1,0
9250401-05.2025.8.12.3576,1,1,1,1,1,0
2778665-68.2025.8.14.3195,1,1,1,1,1,1
2401594-98.2025.8.21.9938,1,1,0,1,1,0
6418008-51.2025.8.09.7653,1,1,1,1,1,1
6088311-10.2025.8.15.8003,1,1,0,0,1,1
1768099-89.2025.8.12.6388,1,1,0,1,1,1
2716081-88.2025.8.19.8813,1,1,0,1,1,1
1996289-38.2025.8.13.1427,0,0,1,1,0,1
6525750-71.2025.8.07.2464,1,1,0,1,1,0
2933175-05.2025.8.14.8934,1,1,0,1,1,1
8242761-70.2025.8.25.4530,1,1,0,1,1,1
5764134-07.2025.8.09.1923,0,0,0,1,0,1
2745205-35.2025.8.02.4268,0,0,1,1,1,0
4457574-26.2025.8.25.5559,1,1,1,0,1,1
2521217-81.2025.8.07.5399,1,1,1,1,1,1
5899277-63.2025.8.24.0095,0,1,1,1,1,0
4937049-13.2025.8.04.5655,1,0,1,1,0,1
5250775-41.2025.8.21.7819,0,1,1,1,1,1
6004002-19.2025.8.11.3369,1,1,1,1,1,1
8275953-90.2025.8.22.5835,1,1,0,0,1,1
8968643-90.2025.8.17.4196,0,0,1,1,1,1
3560488-21.2025.8.20.3063,1,1,1,1,1,1
6499469-09.2025.8.12.9260,1,1,1,1,1,0
8355122-71.2025.8.09.1223,1,1,0,0,0,1
7893459-62.2025.8.03.6963,1,1,0,1,1,1
1692558-47.2025.8.22.3884,1,1,1,0,0,1
7993277-24.2025.8.12.8327,1,1,1,1,1,1
2905818-71.2025.8.25.6327,0,0,0,0,1,1
4677301-60.2025.8.26.9537,0,0,0,1,1,1
2130223-97.2025.8.14.0588,1,1,1,0,1,0
1157075-12.2025.8.02.5425,1,1,1,1,1,1
3856154-88.2025.8.16.3659,0,1,0,1,1,1
7336153-17.2025.8.04.8332,0,1,0,1,1,0
4907807-90.2025.8.21.2049,0,0,0,1,1,0
7777075-57.2025.8.05.7238,1,1,1,1,1,1
5462979-94.2025.8.20.1705,1,1,1,1,1,1
3087363-18.2025.8.01.6040,1,1,1,0,1,0
8067389-33.2025.8.09.6205,1,1,1,0,1,1
5670220-02.2025.8.16.3360,1,1,0,1,0,1
4488778-24.2025.8.05.0365,1,1,1,1,1,1
3285286-56.2025.8.06.1086,1,1,1,1,1,1
3977227-33.2025.8.26.3787,0,0,0,1,1,1
2193662-31.2025.8.21.5489,0,1,1,0,1,0
7254509-93.2025.8.13.6622,0,0,0,1,1,1
4111030-08.2025.8.19.2954,1,1,1,1,1,1
9474303-36.2025.8.11.5936,1,1,1,0,1,1
5745565-79.2025.8.08.6679,1,1,0,1,1,1
8265089-30.2025.8.05.0968,0,1,0,0,0,1
7482626-28.2025.8.21.5864,1,1,1,1,1,1
5722231-63.2025.8.12.6403,1,1,1,0,1,1
4375572-31.2025.8.03.7754,0,1,1,1,0,1
1126172-80.2025.8.25.1383,0,1,0,1,1,1
4379428-87.2025.8.27.6305,1,1,1,0,1,1
9052544-12.2025.8.18.3595,1,1,1,1,0,1
1160202-57.2025.8.07.2189,1,1,0,1,1,1
7534767-25.2025.8.14.5207,1,1,0,1,1,1
8244365-69.2025.8.22.8702,1,1,1,0,1,1
5377838-64.2025.8.22.1960,1,1,0,1,1,1
4664636-83.2025.8.24.3322,0,0,0,1,1,1
3317432-66.2025.8.02.3532,1,1,1,0,1,1
1036167-99.2025.8.18.7221,1,0,0,1,1,1
4713499-59.2025.8.01.9891,0,0,1,0,0,1
7409545-64.2025.8.09.7451,1,1,1,1,1,1
5190784-97.2025.8.05.0017,1,1,0,0,0,1
9008957-49.2025.8.10.2303,1,1,0,0,1,1
3337657-99.2025.8.01.8085,1,1,1,1,0,1
1164748-57.2025.8.09.6973,1,0,0,0,1,1
6433720-08.2025.8.13.0468,1,0,0,1,1,1
1004618-46.2025.8.24.2609,1,1,1,0,1,1
5765658-76.2025.8.02.4628,1,0,1,1,1,1
4242943-08.2025.8.02.6315,1,0,1,0,1,1
8575019-24.2025.8.10.3536,0,0,1,1,0,1
8640762-07.2025.8.10.7001,1,1,0,1,1,1
1642051-91.2025.8.22.5427,1,1,1,1,1,1
6350914-29.2025.8.18.1243,1,1,0,1,0,1
4337481-67.2025.8.04.1028,1,1,0,1,1,1
9628720-57.2025.8.05.4407,0,1,0,1,1,1
6864983-88.2025.8.01.7914,1,1,1,1,1,1
7290593-91.2025.8.15.4383,1,1,1,1,1,1
2916706-84.2025.8.13.4536,1,1,1,1,1,1
4378932-14.2025.8.21.6312,1,1,1,1,0,1
3116427-41.2025.8.15.6493,0,1,1,1,1,0
1767789-13.2025.8.16.5294,0,1,1,1,1,1
2514951-11.2025.8.16.4194,0,0,0,1,1,0
9221747-80.2025.8.05.4800,0,1,1,1,1,0
8738419-10.2025.8.11.0050,0,1,0,1,1,1
5467001-97.2025.8.05.4535,1,1,1,0,1,1
6600400-15.2025.8.24.1673,1,1,1,1,1,1
6957934-24.2025.8.04.1883,1,1,1,0,1,1
9721232-17.2025.8.26.2061,1,1,1,1,1,1
1658392-73.2025.8.06.4400,0,0,0,0,1,0
5429359-99.2025.8.15.9990,1,1,0,1,1,1
1830158-63.2025.8.06.7436,1,1,0,1,1,1
4888805-39.2025.8.06.6078,1,1,0,0,1,0
2416629-13.2025.8.22.7481,1,0,1,1,1,1
3617208-89.2025.8.24.5615,1,1,1,1,1,1
5465173-62.2025.8.04.1962,1,1,0,1,0,1
2195334-12.2025.8.19.3849,0,1,1,0,0,1
2491617-60.2025.8.04.4954,0,0,1,0,1,1
3034155-80.2025.8.17.9947,1,1,0,1,0,1
9541320-08.2025.8.25.0772,1,1,1,0,1,1
3756959-00.2025.8.22.8800,1,1,1,0,1,0
3407007-73.2025.8.27.4003,1,1,1,1,1,1
5125388-30.2025.8.04.4802,0,0,1,0,1,1
1071988-28.2025.8.10.4869,0,0,0,1,1,0
3943642-26.2025.8.14.7097,0,0,1,1,0,1
3316828-87.2025.8.04.5252,0,1,1,1,1,1
5001851-77.2025.8.05.0092,1,1,1,1,1,1
3066971-59.2025.8.14.6843,1,1,1,1,1,1
2725863-21.2025.8.21.8039,1,1,0,0,1,1
7855743-79.2025.8.22.0178,1,1,1,0,1,1
9151035-68.2025.8.22.6973,1,1,0,0,1,0
6207314-44.2025.8.15.8205,1,1,1,0,0,1
9695003-30.2025.8.17.4000,1,1,1,1,1,0
7709072-23.2025.8.21.1626,0,1,0,1,1,1
1132224-24.2025.8.04.8647,0,1,0,0,0,0
4126847-18.2025.8.11.9758,1,1,0,1,1,1
2945066-43.2025.8.01.2052,0,0,0,1,1,1
2260050-77.2025.8.08.6911,1,1,1,1,1,0
9692800-68.2025.8.11.8981,1,1,1,1,1,0
5694415-80.2025.8.11.5254,1,1,0,1,1,1
1953090-35.2025.8.07.9022,1,1,0,1,1,1
9678122-24.2025.8.08.7373,0,1,1,1,0,1
6107837-76.2025.8.15.8712,1,0,1,1,1,0
7103613-72.2025.8.14.7270,1,1,0,0,1,1
6810366-72.2025.8.21.6022,1,0,1,1,1,0
8551553-69.2025.8.11.2880,1,1,0,0,1,0
1365943-12.2025.8.02.3358,1,1,1,1,1,1
2154527-14.2025.8.24.6581,1,1,0,0,0,1
6832328-93.2025.8.12.2275,1,1,1,1,1,0
4682646-67.2025.8.16.1196,0,0,0,1,1,1
9878548-45.2025.8.15.2286,0,0,0,1,1,1
2943656-23.2025.8.11.8748,1,1,0,1,0,1
4404420-82.2025.8.18.4981,1,1,1,0,1,0
6028943-75.2025.8.14.1091,1,1,1,1,1,1
8559222-65.2025.8.14.9635,1,1,1,0,1,1
1188768-00.2025.8.26.7298,1,1,1,1,1,1
5006133-32.2025.8.21.4921,1,1,1,1,0,0
6528657-15.2025.8.11.5661,1,1,0,1,0,1
2113440-47.2025.8.20.0133,1,0,1,1,1,1
6993647-65.2025.8.03.0482,1,0,1,1,0,1
4310482-44.2025.8.14.8080,0,0,0,0,0,1
8351690-48.2025.8.27.5137,0,1,1,1,1,1
9479205-69.2025.8.08.3845,1,1,1,1,1,1
3000656-86.2025.8.20.6265,0,0,1,1,1,1
6542450-85.2025.8.18.3638,1,1,1,1,1,1
9149773-83.2025.8.04.9862,1,1,1,0,1,0
7577959-91.2025.8.16.6387,1,0,0,1,1,1
3988343-82.2025.8.22.6232,1,1,1,1,1,0
2236097-32.2025.8.24.2768,0,1,1,1,1,1
9840752-04.2025.8.24.1287,1,1,1,1,1,1
1414512-68.2025.8.17.7385,1,1,1,0,1,1
4395451-63.2025.8.01.7486,1,1,1,1,1,1
2483936-55.2025.8.02.2108,0,0,0,0,1,1
2124970-23.2025.8.12.3756,0,0,1,1,1,1
7220045-22.2025.8.21.2131,0,0,1,1,0,1
4447431-88.2025.8.17.0827,1,1,1,0,1,1
7978624-64.2025.8.21.7206,1,1,1,1,0,1
6669881-35.2025.8.22.7063,1,1,1,1,1,1
9124076-01.2025.8.04.2683,1,1,1,1,1,1
2482176-17.2025.8.08.2021,1,1,0,0,1,1
7538477-48.2025.8.07.5362,1,1,1,1,1,1
6671803-68.2025.8.25.3190,1,1,0,1,1,1
5506424-76.2025.8.27.8880,1,1,0,0,1,1
5644091-07.2025.8.10.1211,0,1,0,1,0,1
9551756-73.2025.8.03.8934,1,0,1,1,1,0
3672620-85.2025.8.18.8833,0,1,0,0,1,0
6501074-82.2025.8.01.4124,1,1,1,1,0,1
4979196-66.2025.8.24.1263,1,1,0,0,1,1
1818653-62.2025.8.17.8561,1,1,1,0,1,1
8190650-67.2025.8.14.2138,1,1,1,1,1,1
1654013-97.2025.8.04.8668,1,0,0,1,1,0
9468353-73.2025.8.04.6122,1,1,1,1,1,1
3176669-16.2025.8.19.9291,1,1,0,1,1,1
2106146-80.2025.8.05.3987,1,1,1,1,0,1
1914631-83.2025.8.10.1214,1,1,1,1,1,0
6505734-04.2025.8.22.0898,1,1,1,0,1,1
4987824-28.2025.8.12.9529,0,1,1,1,0,1
1337700-64.2025.8.26.1050,1,1,0,0,0,1
7020212-34.2025.8.10.1872,0,1,0,0,1,1
1325764-41.2025.8.01.1867,0,0,0,1,0,1
2471966-47.2025.8.05.2271,0,0,1,1,0,1
4358879-64.2025.8.08.7826,1,1,0,1,0,0
2829762-62.2025.8.06.6733,1,1,1,0,1,1
5045808-82.2025.8.12.9737,1,1,1,1,1,1
3789694-13.2025.8.15.6729,1,1,1,0,1,1
9084560-55.2025.8.13.1494,1,1,1,1,1,1
1739214-61.2025.8.25.6298,1,1,0,1,1,1
9492954-82.2025.8.22.4151,1,1,1,1,1,1
8975960-62.2025.8.13.7361,1,1,1,0,0,1
8724384-71.2025.8.18.1080,1,1,0,1,1,1
9307816-75.2025.8.11.0001,1,1,1,1,1,1
4649567-22.2025.8.02.4286,0,1,0,0,1,1
9409785-10.2025.8.02.0079,1,1,0,1,1,1
5690517-96.2025.8.06.4121,1,1,0,1,1,1
9562200-53.2025.8.24.8675,1,0,0,1,1,0
8278638-67.2025.8.14.6832,1,1,1,1,1,0
9147721-75.2025.8.12.3110,1,1,1,0,1,1
4294836-48.2025.8.19.6717,1,1,1,0,0,1
1492912-22.2025.8.20.2314,0,1,1,1,0,1
9188686-73.2025.8.19.4684,0,0,0,0,1,0
6763421-55.2025.8.26.6112,1,1,1,1,1,1
3838629-43.2025.8.14.2127,0,1,0,1,1,0
8120310-52.2025.8.16.7279,0,0,0,1,1,0
1707543-15.2025.8.01.0476,1,1,1,1,0,1
4522050-31.2025.8.09.7249,0,1,0,1,1,1
3422646-09.2025.8.13.7344,1,1,1,1,0,1
4657045-66.2025.8.27.1614,1,1,1,0,1,1
8697387-71.2025.8.19.9105,1,1,1,0,0,0
4697385-14.2025.8.14.8471,1,1,1,1,0,0
7445676-83.2025.8.13.5734,1,1,1,1,1,1
9004567-87.2025.8.17.4684,1,1,1,1,1,1
1366137-25.2025.8.10.8394,1,1,1,1,0,1
3319519-69.2025.8.24.9245,1,1,1,1,0,0
3811520-11.2025.8.27.3921,0,0,1,0,1,1
3607840-02.2025.8.25.7125,1,1,1,1,1,1
9384984-01.2025.8.10.9298,1,1,1,0,0,1
1422980-82.2025.8.12.6616,1,1,1,0,1,0
1984531-42.2025.8.13.3366,1,1,1,0,1,1
8113638-36.2025.8.08.5428,1,1,1,1,0,1
3188599-51.2025.8.26.2727,1,1,1,1,1,1
6826454-79.2025.8.11.2037,1,0,1,1,1,1
2264907-76.2025.8.03.1677,1,1,0,0,1,1
9891771-48.2025.8.04.7843,1,1,1,1,1,1
5995372-16.2025.8.12.9495,0,0,1,1,1,1
7856489-58.2025.8.10.5043,1,1,1,1,1,1
4418311-20.2025.8.18.5533,1,1,0,0,1,1
9650295-78.2025.8.24.4301,1,1,0,1,0,1
8793376-03.2025.8.02.4265,0,1,0,0,1,1
4133155-21.2025.8.13.9869,1,1,1,1,1,1
3605350-05.2025.8.14.4896,1,1,1,1,0,1
3913330-25.2025.8.02.3394,1,1,1,1,1,1
4363333-46.2025.8.18.6471,1,0,1,0,1,1
9474548-36.2025.8.10.5454,0,1,1,0,0,1
8567617-32.2025.8.03.2392,0,1,0,0,0,1
4333785-52.2025.8.15.9738,1,1,1,0,1,0
3367926-07.2025.8.11.7775,0,0,1,1,1,1
4096300-57.2025.8.25.6947,1,1,1,1,0,1
4555246-04.2025.8.12.5914,1,1,0,1,1,1
4554311-47.2025.8.09.3097,0,1,1,1,1,1
8118111-25.2025.8.21.4100,0,0,1,1,1,1
3834494-54.2025.8.14.5884,1,1,0,1,1,0
2695662-49.2025.8.20.4019,1,1,1,0,0,1
2683862-38.2025.8.10.6374,1,1,1,1,1,1
1239724-36.2025.8.08.8933,1,1,1,1,1,1
4120213-12.2025.8.24.1138,0,1,1,1,1,0
2679129-37.2025.8.24.6626,1,1,1,1,1,0
9064618-61.2025.8.22.6208,1,1,1,1,1,1
9429013-31.2025.8.08.8737,1,1,1,1,1,1
3017224-13.2025.8.01.1554,1,1,1,1,1,1
8642955-59.2025.8.18.2775,1,1,1,1,1,1
3169077-85.2025.8.07.5123,1,1,1,1,1,1
4396761-84.2025.8.20.3161,1,1,0,0,0,1
5656989-03.2025.8.20.9803,1,1,1,0,1,1
4168459-53.2025.8.14.6929,1,1,1,1,1,1
7834054-97.2025.8.08.9760,1,1,0,1,1,1
5360256-77.2025.8.07.9983,1,1,0,1,1,0
2850297-85.2025.8.10.5188,0,1,1,0,0,0
8983927-28.2025.8.22.7891,1,1,1,1,1,1
3239459-77.2025.8.09.5383,0,1,1,1,1,1
8466820-94.2025.8.09.3156,1,1,1,1,1,1
5986545-80.2025.8.06.7462,1,1,0,1,1,1
2321619-29.2025.8.01.1492,1,1,0,0,1,1
1354099-87.2025.8.04.1036,0,1,1,1,1,1
2545536-85.2025.8.09.4077,1,1,1,1,1,1
1160170-85.2025.8.18.9900,1,1,1,1,1,0
3308467-41.2025.8.17.5945,1,1,1,1,1,1
8249061-13.2025.8.22.9384,1,1,0,1,1,0
1517558-64.2025.8.07.8311,1,1,1,1,1,1
6593502-12.2025.8.20.4510,1,1,1,1,1,1
3788838-96.2025.8.05.8217,1,1,0,1,0,0
8294025-18.2025.8.03.4132,1,0,0,1,0,1
5692657-33.2025.8.10.8260,1,1,0,0,1,0
4792625-53.2025.8.27.4268,1,1,1,1,1,1
9733358-18.2025.8.01.1430,1,0,1,1,1,1
7013914-65.2025.8.21.4289,1,0,1,0,0,1
8881225-25.2025.8.04.9702,1,0,1,1,1,1
5787439-00.2025.8.27.5036,0,1,1,1,1,1
1414137-22.2025.8.19.6524,1,1,0,0,1,1
2080586-05.2025.8.24.0047,0,1,0,0,0,1
5712171-52.2025.8.02.2068,1,1,0,1,1,1
5477485-77.2025.8.25.9062,1,1,1,0,1,1
6554938-46.2025.8.22.6815,1,1,0,0,1,0
1229865-86.2025.8.14.8301,1,1,0,1,1,1
3697823-38.2025.8.24.9274,1,1,0,0,0,0
1764747-14.2025.8.14.2066,1,1,1,1,1,1
